code,last 10 min,10 min-1 h,1-6 h,6-24 h,> 24 h
E003,0.5609369724985068,0.03748086913970994,0.03470159259278732,0.002639346497807143,0.03132147834021893
E029,0.467447477082089,0.3748086913970994,0.009464070707123816,0.002639346497807143,0.005033809018963757
E028,0.2804684862492534,0.2998469531176795,0.0031546902357079388,0.0,0.0004474496905745562
E012,0.6544264679149245,0.3185873876875345,0.0031546902357079388,0.0008797821659357143,0.0008948993811491124
E011,0.5609369724985068,0.0,0.0,0.0008797821659357143,0.0163319137059713
E016,0.6544264679149245,0.22488521483825963,0.0,0.0,0.0
E001,0.2804684862492534,0.0,0.0,0.0,0.00011186242264363905
E009,0.1869789908328356,0.03748086913970994,0.0,0.0,0.0
E010,0.0,0.01874043456985497,0.0,0.0008797821659357143,0.00033558726793091713
E007,0.0,0.0,0.0,0.0,0.00011186242264363905
