,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
c1,1.0,-0.00038033096577687515,0.007178580271755572,-0.0007269448987535783,0.009433884335579928,-0.1288243773949883,,,-0.011232968793946422,-0.015105260521363914,0.36521887647438606,0.36467201138519134,0.0004720171949603834,0.056602812238521025,0.009931508266466053,-0.014930057662159458,,-0.0004911684301306723,0.299226162722541
c2,-0.00038033096577687504,1.0,-0.7498455103487758,0.9551252101287278,0.6492723314635624,0.009570220236713644,,,0.006336101751694606,0.10528401937062849,0.001396611121389877,0.0022781239019434296,-0.8860976768583455,0.07123286853023965,-0.37932633571374497,0.060290149569780294,,0.8975670656206675,-0.002467517507971446
c3,0.007178580271755568,-0.7498455103487758,1.0,-0.7441294237586177,-0.5678213477792436,-0.016871722009594647,0.015290578898831708,,-0.00616793769696349,-0.08254071705889547,-0.012700789743312927,0.0028290809667287416,0.7768896932022635,-0.010674050015022094,0.6775640526099189,-0.06761499207933724,,-0.7824466450822779,0.027365772320904244
c4,-0.0007269448987535773,0.9551252101287278,-0.7441294237586177,1.0,0.5976983581440013,0.009022266367648704,,,0.006383188225754618,0.10954096159375276,0.0004294949671950468,-0.0006987615482459883,-0.8735370437014753,0.010288255454765563,-0.3731683919155073,0.014718466826957384,,0.8765076911213078,0.0024099064847135226
c5,0.009433884335579925,0.6492723314635624,-0.5678213477792436,0.5976983581440013,1.0,-0.0004228768888789518,-0.008016178939776446,,0.008197201538708003,0.09204164245809199,0.014855930198782908,0.017701572702609275,-0.7347249754728232,0.058727880795759094,-0.3840472056767215,0.07089239057585477,,0.7418221030429427,-0.060838915290365
c6,-0.1288243773949883,0.009570220236713646,-0.016871722009594643,0.009022266367648704,-0.00042287688887895144,1.0,,,-0.012368173049954086,0.012136080739874393,-0.0033050650140395133,-0.0030292095819444403,-0.009985447055291675,-0.007389942560084735,-0.016178002581971516,0.0187470897897499,,0.009925514988302474,-0.0028490583055147093
c7,,,0.015290578898831708,,-0.008016178939776446,,1.0,,,-0.0014217344161256893,,0.01536757747640622,,,,,,,-0.004455627769245298
c8,,,,,,,,1.0,,,,,,,,,,,-0.012654022330112221
c9,-0.011232968793946422,0.006336101751694606,-0.00616793769696349,0.006383188225754618,0.008197201538708003,-0.012368173049954084,,,1.0,,-0.015026962013042856,-0.014954221815068822,-0.007139799002737973,0.00485946681151867,-0.004254494561186741,0.004267313942525454,,0.0071662284606280185,-0.013347617762230049
c10,-0.015105260521363913,0.10528401937062849,-0.08254071705889547,0.10954096159375276,0.09204164245809197,0.012136080739874384,-0.0014217344161256893,,,1.0,-0.003482373488518296,0.02166490624905701,-0.1156799931830596,0.014258721926473835,-0.07248760923431394,0.04120081253539373,,0.11612055124319773,0.005781065016046579
c11,0.36521887647438606,0.0013966111213898765,-0.012700789743312926,0.0004294949671950468,0.014855930198782912,-0.00330506501403951,,,-0.015026962013042856,-0.0034823734885182974,1.0,0.9994027531622289,0.00022115610725876873,0.014360584052569276,-0.024766781016884024,0.006711456502911109,,-2.983507569981529e-05,0.796087784097265
c12,0.36467201138519134,0.0022781239019434288,0.0028290809667287408,-0.0006987615482459876,0.017701572702609275,-0.0030292095819444463,0.015367577476406219,,-0.01495422181506882,0.02166490624905701,0.9994027531622289,1.0,0.001564046481438089,0.014281895209437382,-0.008189111378331481,0.007194298505135951,,-0.001049750746837443,0.789263409217265
c13,0.0004720171949603835,-0.8860976768583456,0.7768896932022633,-0.8735370437014753,-0.7347249754728232,-0.009985447055291674,,,-0.007139799002737973,-0.1156799931830596,0.00022115610725876854,0.0015640464814380905,1.0,-0.0057596595787442,0.3923809890069554,-0.022313570706198108,,-0.9958481373518482,-0.002432384385532796
c14,0.056602812238521025,0.07123286853023965,-0.010674050015022097,0.010288255454765563,0.05872788079575908,-0.007389942560084731,,,0.00485946681151867,0.014258721926473839,0.014360584052569276,0.014281895209437382,-0.005759659578744195,1.0,-0.02243826661133331,0.4938200057321274,,0.005129099495584706,0.022997509186352533
c15,0.009931508266466053,-0.37932633571374497,0.6775640526099189,-0.3731683919155073,-0.3840472056767215,-0.016178002581971516,,,-0.004254494561186741,-0.07248760923431392,-0.024766781016884024,-0.00818911137833148,0.3923809890069554,-0.022438266611333316,1.0,-0.08319215823265552,,-0.3904855577871183,-0.013519407176076212
c16,-0.014930057662159461,0.060290149569780294,-0.06761499207933724,0.014718466826957401,0.07089239057585477,0.0187470897897499,,,0.004267313942525454,0.04120081253539373,0.0067114565029111105,0.0071942985051359504,-0.022313570706198108,0.4938200057321275,-0.08319215823265552,1.0,,0.01601775150494495,0.00041992595302708783
c17,,,,,,,,,,,,,,,,,,,
c18,-0.000491168430130673,0.8975670656206675,-0.7824466450822779,0.8765076911213078,0.7418221030429427,0.009925514988302476,,,0.007166228460628018,0.11612055124319773,-2.983507569981529e-05,-0.0010497507468374434,-0.9958481373518482,0.005129099495584711,-0.39048555778711835,0.016017751504944958,,1.0,0.002667167674718661
c19,0.299226162722541,-0.002467517507971447,0.027365772320904244,0.0024099064847135218,-0.060838915290365,-0.0028490583055147075,-0.004455627769245296,-0.012654022330112221,-0.013347617762230049,0.005781065016046578,0.7960877840972652,0.789263409217265,-0.002432384385532796,0.02299750918635253,-0.013519407176076212,0.0004199259530270877,,0.002667167674718658,1.0
