,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
c1,1.0,0.002629187748378601,0.026139849162315647,0.007658231722423169,-0.008410392779005845,0.11250665063142042,,,,-0.02153951577922305,0.4400740145016329,0.440310000175968,-0.012247944070446824,0.027568148806123217,0.045488944398576495,-0.025146018460256284,,0.01234815103001918,0.3508009709079214
c2,0.0026291877483786007,1.0,-0.6400086404952098,0.9382491412047143,0.6848887279220572,0.032830359383071155,,,,0.0904108008566973,-0.008940686617071432,-0.001369071223528698,-0.8755011748946885,0.09758589014854537,-0.3548574290508825,0.0410430204896207,,0.8802208227752234,0.008744627794051867
c3,0.026139849162315647,-0.6400086404952097,1.0,-0.6911111834370706,-0.486082719921582,-0.026805038165361065,,,,-0.04537207662101131,0.02751555292237605,0.025904424388609352,0.7250422689956193,0.0011282419565148453,0.7110028761810469,0.07592276852129125,,-0.7270018759591654,0.003173490189779585
c4,0.007658231722423168,0.9382491412047143,-0.6911111834370706,1.0,0.5822912869867201,0.022054839644312763,,,,0.10657576924326949,0.0015523610229091391,-6.030707713296368e-05,-0.8681370777311849,0.03232210303712087,-0.33871382474833206,-0.011838576875946043,,0.8714492325613783,0.003629279104380623
c5,-0.008410392779005845,0.6848887279220572,-0.486082719921582,0.5822912869867201,1.0,0.02749550145198052,,,,0.09398713220483103,-0.007058879520081135,0.015914129156271176,-0.7202750104968578,0.08394165614734979,-0.34121170255223854,0.03451679550382437,,0.7238774815285042,-0.05611932565288099
c6,0.11250665063142042,0.032830359383071155,-0.026805038165361065,0.02205483964431277,0.02749550145198052,1.0,,,,-0.006060716780905361,0.008268087563971873,0.007846500849714394,-0.02674575187462421,0.0002937335974404686,-0.0040045142173743865,0.00633197769997983,,0.0267560284061449,0.014624627288628407
c7,,,,,,,,,,,,,,,,,,,
c8,,,,,,,,,,,,,,,,,,,
c9,,,,,,,,,,,,,,,,,,,
c10,-0.021539515779223056,0.09041080085669731,-0.045372076621011316,0.10657576924326952,0.09398713220483103,-0.006060716780905362,,,,1.0,0.03680380938418194,0.08529217335218431,-0.11376190363484381,-0.0012155164414041852,-0.05052454143031822,-0.015229759332503864,,0.1139847581836726,0.022211872735016992
c11,0.4400740145016329,-0.008940686617071432,0.02751555292237605,0.0015523610229091396,-0.007058879520081135,0.008268087563971876,,,,0.03680380938418195,1.0,0.9985855261546166,-0.0008353154438790083,-0.0008533839246586216,0.009031211024508509,0.017893982180150116,,0.000662284397024616,0.7684214889041332
c12,0.440310000175968,-0.001369071223528699,0.025904424388609352,-6.030707713296503e-05,0.015914129156271176,0.007846500849714392,,,,0.08529217335218431,0.9985855261546166,1.0,0.00013802626261213134,-0.0002553364330510011,0.00412854841599825,0.013634815483000403,,-0.0002855716272546758,0.7593695957628296
c13,-0.012247944070446824,-0.8755011748946885,0.7250422689956193,-0.8681370777311849,-0.7202750104968577,-0.02674575187462421,,,,-0.11376190363484381,-0.0008353154438790081,0.00013802626261212933,1.0,-0.01689949997067518,0.35409563740750766,0.03611427236926812,,-0.9965765691505953,-0.0043283227899748615
c14,0.027568148806123217,0.09758589014854537,0.0011282419565148674,0.032322103037120894,0.08394165614734976,0.0002937335974404755,,,,-0.0012155164414041888,-0.0008533839246586211,-0.00025533643305100244,-0.01689949997067518,1.0,-0.04004765311293663,0.6341176338977023,,0.021497329169977812,0.0013732010063800594
c15,0.0454889443985765,-0.3548574290508825,0.7110028761810466,-0.33871382474833206,-0.34121170255223865,-0.0040045142173743865,,,,-0.05052454143031821,0.009031211024508509,0.0041285484159982455,0.35409563740750766,-0.040047653112936656,1.0,0.035858157982841705,,-0.3557296395105964,-8.922618411342076e-05
c16,-0.025146018460256284,0.0410430204896207,0.07592276852129125,-0.011838576875946043,0.03451679550382435,0.00633197769997983,,,,-0.015229759332503858,0.017893982180150116,0.013634815483000403,0.036114272369268084,0.6341176338977023,0.0358581579828417,1.0,,-0.029828939154772863,0.002352629364184268
c17,,,,,,,,,,,,,,,,,,,
c18,0.01234815103001918,0.8802208227752234,-0.7270018759591654,0.8714492325613783,0.7238774815285042,0.0267560284061449,,,,0.1139847581836726,0.0006622843970246176,-0.0002855716272546763,-0.9965765691505953,0.021497329169977798,-0.35572963951059644,-0.029828939154772863,,1.0,0.0043371854290576335
c19,0.3508009709079214,0.008744627794051864,0.003173490189779585,0.003629279104380622,-0.056119325652881,0.014624627288628409,,,,0.022211872735016992,0.7684214889041332,0.7593695957628296,-0.004328322789974862,0.0013732010063800583,-8.922618411342225e-05,0.0023526293641842684,,0.0043371854290576335,1.0
