file,class,code,start_pos,end_pos,duration_s,ttf_start_h,ttf_end_h
E01_0,E01,E003,0,375,376,168.16666666666666,168.0625
E01_0,E01,E003,76505,86497,9993,146.9152777777778,144.13972222222222
E01_0,E01,E003,162962,172560,9599,122.89944444444444,120.23333333333333
E01_0,E01,E003,246606,286081,39476,99.665,88.69972222222222
E01_0,E01,E003,508581,518572,9992,26.894166666666667,24.11888888888889
E01_0,E01,E003,594804,604788,9985,2.9433333333333334,0.17
E01_0,E01,E012,604800,604805,6,0.16666666666666666,0.16527777777777777
E01_1,E01,E003,595897,595900,4,2.6397222222222223,2.638888888888889
E01_1,E01,E012,604800,604811,12,0.16666666666666666,0.16361111111111112
E01_10,E01,E003,81689,86168,4480,145.4752777777778,144.23111111111112
E01_10,E01,E003,167209,172863,5655,121.71972222222222,120.14916666666667
E01_10,E01,E003,250963,287554,36592,98.45472222222222,88.29055555555556
E01_10,E01,E003,426198,432147,5950,49.778333333333336,48.12583333333333
E01_10,E01,E003,512895,518507,5613,25.695833333333333,24.136944444444445
E01_10,E01,E003,599777,604786,5010,1.5619444444444444,0.17055555555555554
E01_10,E01,E012,604800,604804,5,0.16666666666666666,0.16555555555555557
E01_11,E01,E012,604800,604841,42,0.16666666666666666,0.15527777777777776
E01_12,E01,E029,6078,6084,7,166.47833333333332,166.47666666666666
E01_12,E01,E029,30615,30679,65,159.6625,159.6447222222222
E01_12,E01,E029,289884,316550,26667,87.64333333333333,80.23611111111111
E01_12,E01,E029,376284,401535,25252,63.64333333333333,56.62916666666667
E01_12,E01,E029,462685,472327,9643,39.643055555555556,36.96472222222222
E01_12,E01,E012,604800,605204,405,0.16666666666666666,0.05444444444444444
E01_13,E01,E003,252725,258531,5807,97.96527777777777,96.3525
E01_13,E01,E029,447547,448906,1360,43.848055555555554,43.470555555555556
E01_13,E01,E012,604800,604867,68,0.16666666666666666,0.14805555555555555
E01_14,E01,E012,604800,605193,394,0.16666666666666666,0.0575
E01_15,E01,E028,189067,189264,198,115.64805555555556,115.59333333333333
E01_15,E01,E029,189898,189951,54,115.41722222222222,115.4025
E01_15,E01,E029,247444,247488,45,99.43222222222222,99.42
