,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
c1,1.0,0.00799583260582375,0.001188150889705572,0.0012293643314222474,0.014961945531831788,-0.03958081515465522,-0.40654830802653996,0.4065483080265403,0.29672584598672813,-0.05392101979952631,0.2951646682165481,0.34270032875192585,0.0039892289784226615,0.006273597365706908,0.011754962018376327,-0.011006558218989767,,0.0009750429283413122,0.2272241618714041
c2,0.00799583260582375,1.0,-0.6439481973075656,0.934820253169226,0.5801153343823238,0.02077440218705839,0.0006748609213234558,0.0017410751733656974,0.06677191447943873,0.11519490537658154,0.005796287227332702,0.005412735839928393,-0.8651333895001675,0.09846242560631521,-0.260600398412032,0.015543089510662175,,0.8863966941469743,-0.029858361914749037
c3,0.00118815088970557,-0.6439481973075655,1.0,-0.6578156276413283,-0.4375721297214841,-0.0474524090057449,-0.287725620123684,0.14548553798506786,-0.12026171904933107,-0.06365552516438693,-0.011504378844271794,0.03028810106304684,0.6977878655380543,-0.002481652431786539,0.6073357753283188,0.018387317418183897,,-0.7056733214039451,-0.05013072610289348
c4,0.0012293643314222479,0.934820253169226,-0.6578156276413283,1.0,0.48843212602568575,0.0190644357479444,-0.024657571228968913,0.01426310890709211,0.024824611094414497,0.10652595875197159,-0.0007350367084171536,0.0017979501451623814,-0.8447566395854104,0.021231967575440554,-0.23840737186604735,-0.0523984079498654,,0.8646528212826494,0.0010984828118815555
c5,0.014961945531831788,0.5801153343823238,-0.43757212972148407,0.48843212602568575,1.0,0.016071180128970335,-0.014810677638135816,-0.015207520920494516,0.08448739485302807,0.12025217029583052,0.012192739178047862,0.019101408271531655,-0.639775256846348,0.09390932848173475,-0.26188682209216363,0.010835583155000713,,0.6568674674177978,-0.05157170340708818
c6,-0.03958081515465521,0.020774402187058394,-0.0474524090057449,0.0190644357479444,0.016071180128970335,1.0,0.9679020928239649,-0.4874978826625719,0.48040421016139345,0.03107319989185283,0.05109954481345378,-0.06979386642159204,-0.02404539894236041,0.017863656594604642,-0.04794183135193821,0.04344712550156837,,0.021302873986211373,-0.011061400070698797
c7,-0.40654830802653996,0.0006748609213234555,-0.287725620123684,-0.024657571228968913,-0.014810677638135815,0.967902092823965,1.0,-0.9999999999999989,0.9999999999999983,0.27816944076658084,0.9999070098762145,-0.9999999793830624,-0.023098404669047754,0.10964202379329176,-0.4241833269143114,0.5509608750902616,,-0.023084944831223492,0.02890779151506683
c8,0.40654830802654024,0.0017410751733656982,0.14548553798506786,0.01426310890709211,-0.015207520920494514,-0.4874978826625718,-0.9999999999999989,0.9999999999999999,-6.772360450213455e-15,-0.27816944076658134,-0.493281673917215,0.5067035538628392,0.009277339334035389,-0.051244596684206015,0.21554891695943937,-0.27223030841645013,,0.013819281847390962,-0.003361655508402072
c9,0.29672584598672813,0.06677191447943874,-0.12026171904933107,0.024824611094414497,0.08448739485302809,0.48040421016139345,0.9999999999999983,-6.716849298982197e-15,1.0,-0.04478251110974976,0.6706430338981808,0.004086809906340842,-0.019537800804920655,0.047497059875539344,-0.1465295418153645,0.1468805695900417,,0.02645183950694996,0.32013347044315754
c10,-0.05392101979952631,0.11519490537658154,-0.06365552516438694,0.10652595875197159,0.12025217029583052,0.03107319989185283,0.27816944076658084,-0.2781694407665813,-0.044782511109749734,1.0,0.020170128966083375,0.010944724045771985,-0.12029860302345445,0.013261663717841862,-0.02033652622884575,0.009711297982325938,,0.11906349485372558,-0.002827865832365949
