code,last 10 min,10 min-1 h,1-6 h,6-24 h,> 24 h
E003,0.031137195834523592,0.14004830867578008,0.048577848115685995,0.008082754265599392,0.02303262818680117
E029,0.19692523437297116,0.014112588366354673,0.0013311040189000996,0.0007649217164941072,0.009011077456058343
E028,0.06697483574415042,8.329082031046654e-05,7.886725589269848e-06,0.0,1.0875513312576018e-05
E012,0.06276780845041162,8.849649657987069e-05,0.00011041415824977786,2.05282505385e-05,3.7411765795261505e-05
E011,0.004570597553691536,0.0,0.006738768864609458,0.019875256664227715,0.009014868349270155
E016,0.030695717661723843,6.24681152328499e-05,0.0,0.0,0.0
E001,0.007712883371854468,0.0,0.0,0.0,8.172171432021408e-06
E009,0.00044147817279975067,0.000296723547356037,0.0,0.0,0.0
E010,0.0,0.00015617028808212474,0.0,9.775357399285714e-06,3.231581098594017e-06
E007,0.0,0.0,0.0,0.0,8.948993811491124e-06
